username, created_at, lng, lat, text
JimClinkscale, Thu Apr 30 07:00:55 +0000 2020, -72.757385, 41.500753, Landslide! 
br_webb, Thu Apr 30 07:00:56 +0000 2020, -123.123581, 49.257639, @steeletalk @CityofVancouver Is it because of the Nelson St upgrade works? I’ve noticed so many cars in yaletown th… https://t.co/30mo7EDNLL 
coreyfoulem1, Thu Apr 30 07:00:56 +0000 2020, -79.877940, 47.820420, 1983 Dodge Aries: Cold Start after sitting 6 Months!dodgecanada pentastarclassics @officialmopar… https://t.co/5k59E7M3YF 
bnarddddd, Thu Apr 30 07:00:56 +0000 2020, -87.650300, 34.750800, Tomorrow ‼️‼️‼️‼️ All platforms @ Muscle Shoals, Alabama https://t.co/AKPEhA24uQ 
christos_ioa, Thu Apr 30 07:00:56 +0000 2020, -81.550398, 41.474967, @StephieTheLefty @Aseemru This was my experience mostly, but he was way worse towards others https://t.co/t7F6wz8KSf 
tahiraidc, Thu Apr 30 07:00:56 +0000 2020, -80.294893, 26.156619, @jamilasha_ https://t.co/O1Mg0Xl40Q 
JesusOr33688349, Thu Apr 30 07:00:57 +0000 2020, -115.223125, 36.232915, #ThursdayThoughts 
KingDavid2490, Thu Apr 30 07:00:57 +0000 2020, -121.971926, 38.362844, @JThorpe3 I hate you 🤣😂 I almost died 💀 
JALENBOE, Thu Apr 30 07:00:57 +0000 2020, -79.857363, 36.090397, @chaaalynn 🧡 
arlenee79, Thu Apr 30 07:00:57 +0000 2020, -118.411907, 34.020789, @nancechalant Amen 
Kreative_Kayy, Thu Apr 30 07:00:57 +0000 2020, -80.149173, 26.150368, I woulda passed tf outtt 
jiggygemma, Thu Apr 30 07:00:57 +0000 2020, -118.125196, 34.583629, @mmeeliisssaaaa ILY ❤️❤️❤️❤️❤️❤️❤️❤️ 
FatimaSierraa, Thu Apr 30 07:00:57 +0000 2020, -100.270474, 25.736715, Acabo de leer toda la novela de los tapabocas de Mariana Rdz, entiendo el nivel de incertidumbre que genera al most… https://t.co/TJAoA40CTi 
francescaclubb, Thu Apr 30 07:00:57 +0000 2020, -75.112270, 38.338571, i would love so much to be able to hangout with black out drunk me. that’s just another person https://t.co/sExIvaWdEm 
Mirodaya, Thu Apr 30 07:00:57 +0000 2020, -73.723025, 45.557830, @Asnami_ @Tsun9mi_ Should make oppai v2 ngl 
Jozle_Jozle, Thu Apr 30 07:00:57 +0000 2020, -95.446486, 29.838495, Depression is when you’re not feeling right but don’t know why. 
triplet2000, Thu Apr 30 07:00:57 +0000 2020, -83.173867, 32.678207, @mkidxxs Don’t even do that bro 😭 https://t.co/l16OVIQAr7 
Martino42800913, Thu Apr 30 07:00:58 +0000 2020, -117.104989, 32.810012, @rin_asahina7 それまではどうぶつの森をやります 🤣😂 
babybleubills, Thu Apr 30 07:00:58 +0000 2020, -74.184848, 40.734494, She held it down when I was down that’s why I still fuck with you 
loganmichalsky, Thu Apr 30 07:00:58 +0000 2020, -118.338504, 34.116391, A whole ass mood lately. https://t.co/Tob9B4SiUf 
_shykiaa, Thu Apr 30 07:00:58 +0000 2020, -84.230650, 33.526882, i been playing this kcamp on repeat 
aapprriill02, Thu Apr 30 07:00:58 +0000 2020, -100.076888, 31.168893, i’m pretty cool ... but idk , that’s just my opinion 🥺👉🏻👈🏻 
